title,genre,platform
Tecmo Superbowl,Sports,SNES
Lufia II: Rise of the Sinistrals,RPG,SNES
Final Fantasy VIII,RPG,PlayStation 1
Mario Kart,Sports,SNES
Xenoblade Chronicles X,RPG,Wii U
Blue Dragon,RPG,XBox 360
Tetris,Puzzle,GameBoy
Final Fantasy,RPG,NES
Final Fantasy VII,RPG,PlayStation 1
Doom: Eternal,FPS,PlayStation 4
Chrono Trigger,RPG,SNES
Sonic the Hedghog,Platformer,Genesis
Zelda Windraker,RPG,GameCube
Xenoblade Chronicles,RPG,Wii
Zelda,RPG,NES
Zelda: Tears of the Kingdom,RPG,Switch
Final Fantasy X,RPG,PlayStation 2
Rythm Haven,Music/Rythm,Wii
Final Fantasy III,RPG,SNES
Viewtiful Joe,Platformer,GameCube
Kirby's Air Rider,Sports,GameCube
Final Fantasy II,RPG,SNES
